      “Be the change that you wish to see in the world.”
      “Live as if you were to die tomorrow. Learn as if you were to live forever.”
      “An eye for an eye will only make the whole world blind.”
      “Happiness is when what you think, what you say, and what you do are in harmony.”
      “When I despair, I remember that all through history the way of truth and love have always won. There have been tyrants and murderers, and for a time, they can seem invincible, but in the end, they always fall. Think of it--always.”
      “Where there is love there is life.”
      “I like your Christ, I do not like your Christians. Your Christians are so unlike your Christ.”
      “Prayer is not asking. It is a longing of the soul. It is daily admission of one's weakness. It is better in prayer to have a heart without words than words without a heart.”
      “Freedom is not worth having if it does not include the freedom to make mistakes.”
      “Nobody can hurt me without my permission.”
      “God has no religion.”
      “Hate the sin, love the sinner.”
      “I will not let anyone walk through my mind with their dirty feet.”
      “You must not lose faith in humanity. Humanity is like an ocean; if a few drops of the ocean are dirty, the ocean does not become dirty.”
      “The best way to find yourself is to lose yourself in the service of others.”
      “Let the first act of every morning be to make the following resolve for the day:- I shall not fear anyone on Earth. - I shall fear only God. - I shall not bear ill will toward anyone. - I shall not submit to injustice from anyone. - I shall conquer untruth by truth. And in resisting untruth, I shall put up with all suffering.”
      “The future depends on what you do today.”
      “A man is but the product of his thoughts. What he thinks, he becomes.”
      “To give pleasure to a single heart by a single act is better than a thousand heads bowing in prayer.”
